X, Y ,Z
-65.65823,1.094727, 8.369452
-65.67851,1.082712, 8.357916
-65.72198,1.056961, 8.333187
-65.74301,1.044506, 8.321228
-65.76431,1.03189, 8.309114
-65.80613,1.007123, 8.285333
-65.82683,0.9948649, 8.273561
-65.86978,0.9694228, 8.249132
-65.89046,0.9571705, 8.237368
-65.9338,0.9315014, 8.212719
-65.95419,0.919425, 8.201123
-65.99822,0.8933449, 8.176081
-66.01978,0.880578, 8.163821
-66.05891,0.8574023, 8.141567
-66.07921,0.8453789, 8.130022
-66.12162,0.8202562, 8.105899
-66.1435,0.8072939, 8.093452
-66.18343,0.7836442, 8.070744
-66.20498,0.7708807, 8.058488
-66.25524,0.7411108, 8.029902
-66.29099,0.7199411, 8.009574
-66.33157,0.6959004, 7.986491
-66.35162,0.6840272, 7.97509
-66.3896,0.6615276, 7.953485
-66.41579,0.6460156, 7.938591
-66.45385,0.6234727, 7.916945
-66.49323,0.600153, 7.894553
-66.51167,0.5892291, 7.884064
-67.41339,10.14365, -0.3354568
-67.43243,10.1467, -0.3572245
-66.46085,10.26443, 3.695456
-66.46758,10.26565, 3.68935
-66.5021,10.27192, 3.658032
-66.53075,10.27713, 3.632036
-66.55644,10.2818, 3.608733
-66.58434,10.28687, 3.583422
-66.61829,10.29304, 3.552622
-66.64323,10.29757, 3.529996
-66.67513,10.30337, 3.501056
-66.70558,10.3089, 3.473431
-66.73532,10.31431, 3.44645
-66.7646,10.31963, 3.419887
-66.79355,10.32489, 3.393623
-66.82247,10.33014, 3.367388
-66.85203,10.33552, 3.340577
-66.88109,10.3408, 3.314215
-66.90995,10.34604, 3.288028
-66.94015,10.35153, 3.260635
-66.96892,10.35676, 3.234535
-66.99708,10.36187, 3.208984
-67.02697,10.36731, 3.18187
-67.05539,10.37247, 3.156084
-67.08383,10.37764, 3.130285
-67.11221,10.3828, 3.10454
-67.14379,10.38854, 3.075887
-67.17774,10.3947, 3.045091
-67.2064,10.39991, 3.019094
-67.2496,10.40776, 2.979903
-67.26041,10.40973, 2.970091
-67.29048,10.41519, 2.942812
-67.31914,10.4204, 2.916811
-67.34798,10.42564, 2.890655
-67.38836,10.43298, 2.854014
-67.40823,10.43659, 2.835995
-67.43713,10.44184, 2.809765
-67.4668,10.44724, 2.782848
-67.49503,10.45236, 2.75725
-67.52357,10.45755, 2.731352
-67.55267,10.46284, 2.704954
-67.58195,10.46816, 2.678386
-67.61223,10.47366, 2.650919
-67.64422,10.47948, 2.621898
-67.67371,10.48483, 2.595144
-67.70424,10.49038, 2.567452
-67.73502,10.49598, 2.539526
-67.7657,10.50155, 2.51169
-67.78854,10.5057, 2.490973
-62.43213,11.09018, 7.907602
-62.43804,11.09235, 7.90263
-62.46874,11.1036, 7.876808
