X, Y, Z
-40.56323,2.755187,6.137167
-41.636,3.199904,8.186928
-41.89342,3.33885,8.548857
-67.49295,2.567564,12.49878
-67.37981,2.495084,12.73931
-58.75605,2.314062,13.17134
-57.9339,2.278956,13.32147
-57.88478,2.542059,13.45697
-57.49131,2.969419,13.30513
-57.38042,3.073409,13.38937
-57.3788,2.966215,13.37974
-56.95295,3.103641,13.0954
-53.141,5.661524,17.82056
-53.24334,5.717257,17.94644
-53.88226,5.680612,14.00122
-53.2583,5.781382,13.67229
-53.21678,5.814346,13.72191
-53.2454,5.833047,13.76517
-53.2582,5.850667,13.78198
-53.18828,5.879126,13.7218
-55.1247,7.407835,13.7052
-55.07703,7.425241,13.71391
-54.96114,7.466039,13.72013
-54.46215,7.547136,13.98072
-54.39962,7.454997,13.91501
-54.33762,7.392027,13.88022
-54.3199,7.38669,13.86803
-54.25566,7.364204,13.89489
-54.04278,7.221173,13.91736
-54.02913,7.212606,13.9711
-54.72185,8.220991,13.94622
-54.71447,8.232399,13.94525
-53.97863,8.328995,14.26715
X, Y, Z
-40.41837,4.136201,4.695465
-50.45301,4.531487,8.133553
-50.86397,4.214352,8.388868
-52.64683,3.628376,7.541022
-52.78726,3.699318,7.417579
-58.89218,3.318192,12.40586
-58.34755,2.406681,12.74714
-58.38176,2.656555,12.7171
-52.36279,3.87934,17.52783
-52.83847,3.716128,17.62053
-52.33734,5.662025,17.48469
-52.4399,5.543988,17.5258
-52.57848,5.4518,17.55675
-52.66694,5.453194,17.59512
-53.67382,5.407417,17.58003
-53.73221,5.168806,17.63507
-53.73171,5.202878,17.55285
-53.70699,5.256163,17.53084
-53.83517,5.318342,17.35044
-53.92144,5.360485,17.3957
-56.0776,6.808375,13.83279
-56.0325,6.73519,13.82266
-56.0606,6.674445,13.73738
-55.37299,7.258585,13.83819
-55.21328,7.305017,13.80787
-55.22443,7.305896,13.81748
-54.96618,7.31815,13.74747
-54.69082,7.432008,13.77729
-54.65295,7.413278,13.74599
-54.45968,7.337841,13.8166
-54.35825,7.340673,13.87005
-54.09052,7.461427,14.02971
-54.01768,7.506139,14.06581
-53.35658,7.542707,13.87951
-53.86064,8.524767,13.97178
-53.83852,8.517369,13.94959
-53.75782,8.501923,13.9023
X, Y, Z
-43.96043,4.245676,8.527531
-44.52747,3.614428,7.486572
-44.97116,2.98628,7.760771
-53.81561,3.94841,8.107106
-53.87014,4.155469,8.280882
-54.18663,3.673911,8.395489
-54.73688,3.537653,13.12717
-52.50437,3.744833,13.46638
-53.65334,5.956784,16.85151
-53.65008,6.035972,16.90546
-54.03397,6.017473,17.05039
-54.09804,6.084134,17.04486
-54.27676,6.178603,17.20603
-54.52448,6.194735,17.16371
-54.44494,6.256506,17.12355
-54.41821,6.260282,17.12302
-55.94688,7.124382,13.88123
-55.82539,7.063091,13.86216
-55.84109,7.131483,13.77275
-55.67627,7.139489,13.77888
-55.50273,7.173968,13.89515
-55.2958,7.23465,13.81389
-55.19587,7.264995,13.767
-55.12678,7.312248,13.72305
-54.82402,7.246348,13.59857
-54.47882,6.984725,13.66364
-54.03194,8.476219,14.06101
X, Y, Z
-43.46928,4.960174,9.628544
-43.71437,4.911877,9.495058
-45.85597,3.759864,7.197747
-57.2021,3.851382,13.56957
-56.87146,3.398571,13.34477
-56.57101,3.113593,13.37328
-56.56139,3.314247,13.16427
-55.80016,3.882186,13.15466
-55.02063,3.381327,13.34423
-55.05253,3.423343,13.45397
-54.95137,3.494927,13.43983
-54.4497,3.368083,17.9133
-54.5094,3.409724,17.79412
-54.92086,3.311034,17.89711
-55.88546,5.141475,13.34378
-55.3186,5.506465,13.22492
-55.22517,5.361637,13.15425
-55.12621,5.437514,13.21959
-54.82383,5.294998,13.21969
-56.24902,7.230734,13.52264
-56.02888,7.109807,13.63416
-55.86201,7.154591,13.70519
-55.46012,7.170592,13.75976
-54.95866,7.250771,13.96574
-54.97695,7.236676,13.92966
-54.5938,7.302042,13.72141
-54.60944,7.272823,13.67725
-54.49828,7.32191,13.7313
-53.9692,7.447884,13.59778
-53.89813,7.502462,13.62625
-53.90452,7.498774,13.61131
X, Y, Z
-48.6793,1.483265,8.600882
-49.40169,1.847046,8.376076
-49.70445,1.874117,8.541467
-51.11118,3.085722,8.243855
-55.39514,3.205391,13.39989
-55.37928,3.400959,13.66703
-55.08941,3.503677,13.64735
-50.59131,5.483745,17.87316
-51.10521,5.697955,18.15074
-51.6598,5.757502,17.87232
-51.63876,5.723739,17.84591
-51.80048,5.863052,17.91649
-52.07502,6.155814,17.75833
-52.23526,6.102622,17.75095
-52.79134,5.96209,17.51875
-52.92123,5.819325,17.64992
-53.44305,5.556632,17.59195
-53.77703,5.737284,13.81522
-53.7689,5.585088,13.78024
-55.19853,7.189289,13.79185
-55.03357,7.256563,13.81013
-54.82197,7.127782,13.94786
-54.79655,7.121687,13.96733
-54.82673,7.141288,13.98806
-54.7494,7.221762,14.01529
-54.74537,7.265429,14.02367
-54.73947,8.333768,13.6773
-54.75181,8.320807,13.66367
-54.75145,8.352859,13.70174
-54.74311,8.350457,13.70972
-54.56911,8.483739,13.87156
-54.5633,8.47757,13.88032
-54.48199,8.574809,13.84718
-54.43769,8.591126,13.93083
X, Y, Z
-44.67874,2.958074,8.553179
-44.34746,2.032945,8.893481
-44.43367,2.922262,8.296205
-44.66965,2.527478,7.823721
-45.08513,2.235137,8.022018
-56.62666,3.53308,13.21929
-56.63158,2.979862,13.34551
-56.47745,3.188696,13.24267
-55.88772,3.292204,13.23983
-51.64167,3.174908,17.7658
-52.12696,2.951032,18.21151
-52.31616,2.897313,18.11549
-52.46894,2.839552,18.13763
-53.05441,4.896614,17.31439
-53.14831,4.849689,17.52383
-53.29821,4.874668,17.55879
-55.08287,5.509312,13.8159
-54.74916,5.605187,13.71343
-54.76958,5.600907,13.76657
-54.29884,7.494827,13.91473
-54.30119,7.553438,13.91929
-54.28881,7.556793,13.88513
-54.18941,7.531394,13.9514
-53.9678,7.66319,13.94028
-53.96839,7.649401,13.89069
-53.99258,7.65744,13.88747
-53.95008,7.648226,13.86994
-53.91169,7.521102,13.84558
-53.85124,7.519511,13.77329
-53.83522,7.503644,13.81396
-53.77927,7.474373,13.82525
-53.7718,7.446404,13.79323
-54.53666,8.596063,13.79001
-54.488,8.67097,13.74387
-54.36818,8.595731,13.81498
-54.39014,8.576862,13.84206
-54.38758,8.616144,13.8349
-54.22559,8.633308,13.74257
X, Y, Z
-39.95023,2.41573,8.784993
-39.88871,2.631241,9.222786
-42.9558,2.98162,8.906514
-51.89626,2.508429,8.690616
-51.50207,2.936637,8.670896
-57.42957,4.315701,12.58596
-56.87334,3.830518,13.22463
-56.6939,3.957326,13.18349
-56.45149,3.894451,13.21312
-55.86887,3.730516,13.48811
-55.50207,3.073959,13.47729
-56.87625,5.411994,13.84166
-56.77396,5.418039,13.90511
-55.20222,5.230494,13.4547
-55.17871,5.285666,13.37047
-55.04511,5.288077,13.36958
-54.53077,5.360828,13.23682
-54.17176,5.448202,13.38835
-55.18134,7.170415,13.84998
-55.16116,7.154335,13.81174
